iyear,country_txt,eventid
1970,Colombia,1
1970,Egypt,1
1970,Guatemala,4
1970,Lebanon,1
1970,Nicaragua,1
1970,Pakistan,1
1970,Philippines,10
1970,Spain,4
1970,Turkey,12
1970,United Kingdom,12
1970,United States,468
1971,Egypt,1
1971,Guatemala,1
1971,Israel,1
1971,Lebanon,1
1971,Philippines,4
1971,Spain,22
1971,Turkey,35
1971,United Kingdom,81
1971,United States,247
1972,Algeria,1
1972,Colombia,2
1972,Egypt,1
1972,El Salvador,2
1972,France,11
1972,India,1
1972,Israel,15
1972,Lebanon,3
1972,Philippines,7
1972,Spain,19
1972,Thailand,1
1972,Turkey,9
1972,United Kingdom,292
1972,United States,68
1972,West Bank and Gaza Strip,1
1973,Afghanistan,1
1973,Chile,7
1973,Colombia,6
1973,El Salvador,1
1973,France,14
1973,Israel,1
1973,Lebanon,11
1973,Peru,3
1973,Spain,21
1973,United Kingdom,189
1973,United States,58
1974,El Salvador,3
1974,France,29
1974,Guatemala,1
1974,Israel,12
1974,Lebanon,11
1974,Nicaragua,1
1974,Pakistan,2
1974,Peru,3
1974,Philippines,1
1974,South Africa,1
1974,Spain,14
1974,Syria,4
1974,Thailand,1
1974,Turkey,1
1974,United Kingdom,203
1974,United States,94
1975,Colombia,10
1975,El Salvador,3
1975,France,39
1975,Guatemala,5
1975,India,1
1975,Iraq,1
1975,Israel,2
1975,Lebanon,15
1975,Nicaragua,1
1975,Pakistan,2
1975,Peru,2
1975,Philippines,4
1975,Somalia,1
1975,Spain,136
1975,Sri Lanka,1
1975,Syria,2
1975,Turkey,10
1975,United Kingdom,194
1975,United States,149
1976,Algeria,1
1976,Chile,2
1976,Colombia,22
1976,El Salvador,13
1976,France,58
1976,Guatemala,13
1976,India,1
1976,Iraq,3
1976,Israel,2
1976,Lebanon,4
1976,Nigeria,1
1976,Pakistan,3
1976,Philippines,10
1976,South Africa,1
1976,Spain,50
1976,Syria,2
1976,Turkey,35
1976,United Kingdom,194
1976,United States,105
1976,West Bank and Gaza Strip,1
1977,Chile,6
1977,Colombia,80
1977,Egypt,1
1977,El Salvador,6
1977,France,53
1977,Guatemala,8
1977,India,1
1977,Israel,6
1977,Lebanon,4
1977,Nicaragua,5
1977,Peru,4
1977,Philippines,2
1977,South Africa,15
1977,Spain,147
1977,Syria,3
1977,Thailand,3
1977,Turkey,189
1977,United Kingdom,140
1977,United States,130
1978,Algeria,1
1978,Chile,8
1978,Colombia,158
1978,Egypt,2
1978,El Salvador,91
1978,France,59
1978,Guatemala,29
1978,Israel,23
1978,Lebanon,12
1978,Nicaragua,76
1978,Pakistan,2
1978,Peru,4
1978,Philippines,36
1978,South Africa,9
1978,Spain,209
1978,Syria,1
1978,Thailand,5
1978,Turkey,52
1978,United Kingdom,100
1978,United States,87
1978,West Bank and Gaza Strip,4
1979,Afghanistan,3
1979,Algeria,1
1979,Chile,49
1979,Colombia,140
1979,Egypt,1
1979,El Salvador,326
1979,France,212
1979,Guatemala,60
1979,India,20
1979,Iraq,2
1979,Israel,130
1979,Lebanon,38
1979,Libya,3
1979,Nicaragua,206
1979,Pakistan,7
1979,Peru,3
1979,Philippines,50
1979,South Africa,16
1979,Spain,279
1979,Sri Lanka,3
1979,Syria,28
1979,Thailand,16
1979,Turkey,141
1979,United Kingdom,239
1979,United States,69
1979,West Bank and Gaza Strip,22
1980,Chile,41
1980,Colombia,141
1980,Egypt,5
1980,El Salvador,710
1980,France,94
1980,Guatemala,281
1980,India,10
1980,Iraq,6
1980,Israel,79
1980,Lebanon,86
1980,Libya,2
1980,Nicaragua,35
1980,Nigeria,1
1980,Pakistan,1
1980,Peru,64
1980,Philippines,60
1980,Somalia,1
1980,South Africa,23
1980,Spain,187
1980,Syria,33
1980,Thailand,26
1980,Turkey,95
1980,United Kingdom,134
1980,United States,67
1980,West Bank and Gaza Strip,56
1981,Chile,34
1981,Colombia,172
1981,Egypt,9
1981,El Salvador,664
1981,France,66
1981,Guatemala,399
1981,India,16
1981,Iraq,3
1981,Israel,36
1981,Lebanon,81
1981,Nicaragua,47
1981,Pakistan,4
1981,Peru,149
1981,Philippines,31
1981,Somalia,8
1981,South Africa,42
1981,Spain,107
1981,Sri Lanka,2
1981,Syria,41
1981,Thailand,18
1981,Turkey,8
1981,United Kingdom,142
1981,United States,74
1981,West Bank and Gaza Strip,17
1982,Chile,21
1982,Colombia,222
1982,Egypt,1
1982,El Salvador,537
1982,France,62
1982,Guatemala,354
1982,India,13
1982,Iraq,5
1982,Israel,71
1982,Lebanon,120
1982,Nicaragua,63
1982,Pakistan,4
1982,Peru,350
1982,Philippines,38
1982,South Africa,26
1982,Spain,146
1982,Sri Lanka,2
1982,Syria,20
1982,Thailand,3
1982,Turkey,5
1982,United Kingdom,95
1982,United States,78
1982,West Bank and Gaza Strip,39
1983,Chile,106
1983,Colombia,234
1983,El Salvador,371
1983,France,121
1983,Guatemala,117
1983,India,47
1983,Iraq,3
1983,Israel,31
1983,Lebanon,234
1983,Nicaragua,299
1983,Nigeria,3
1983,Pakistan,9
1983,Peru,536
1983,Philippines,16
1983,Somalia,1
1983,South Africa,56
1983,Spain,122
1983,Sri Lanka,7
1983,Syria,1
1983,Thailand,1
1983,Turkey,5
1983,United Kingdom,177
1983,United States,44
1983,West Bank and Gaza Strip,34
1984,Chile,563
1984,Colombia,237
1984,El Salvador,273
1984,France,145
1984,Guatemala,74
1984,India,159
1984,Iraq,2
1984,Israel,25
1984,Lebanon,166
1984,Libya,3
1984,Nicaragua,302
1984,Pakistan,3
1984,Peru,592
1984,Philippines,43
1984,Somalia,2
1984,South Africa,60
1984,Spain,143
1984,Sri Lanka,81
1984,Syria,1
1984,Thailand,1
1984,Turkey,19
1984,United Kingdom,145
1984,United States,63
1984,West Bank and Gaza Strip,26
1985,Chile,232
1985,Colombia,382
1985,Egypt,2
1985,El Salvador,436
1985,France,106
1985,Guatemala,63
1985,India,39
1985,Israel,21
1985,Lebanon,95
1985,Nicaragua,258
1985,Pakistan,2
1985,Peru,352
1985,Philippines,124
1985,South Africa,106
1985,Spain,114
1985,Sri Lanka,110
1985,Syria,1
1985,Thailand,1
1985,Turkey,2
1985,United Kingdom,67
1985,United States,40
1985,West Bank and Gaza Strip,1
1986,Chile,243
1986,Colombia,307
1986,Egypt,4
1986,El Salvador,175
1986,France,95
1986,Guatemala,31
1986,India,96
1986,Israel,48
1986,Lebanon,106
1986,Nicaragua,171
1986,Pakistan,24
1986,Peru,568
1986,Philippines,80
1986,South Africa,159
1986,Spain,125
1986,Sri Lanka,142
1986,Syria,4
1986,Thailand,3
1986,Turkey,7
1986,United Kingdom,95
1986,United States,49
1986,West Bank and Gaza Strip,13
1987,Afghanistan,1
1987,Chile,173
1987,Colombia,337
1987,Egypt,7
1987,El Salvador,234
1987,France,87
1987,Guatemala,56
1987,India,166
1987,Iraq,3
1987,Israel,23
1987,Lebanon,94
1987,Nicaragua,223
1987,Pakistan,60
1987,Peru,627
1987,Philippines,160
1987,Somalia,1
1987,South Africa,133
1987,Spain,104
1987,Sri Lanka,115
1987,Turkey,43
1987,United Kingdom,117
1987,United States,34
1987,West Bank and Gaza Strip,11
1988,Afghanistan,11
1988,Chile,185
1988,Colombia,427
1988,Egypt,9
1988,El Salvador,367
1988,France,54
1988,Guatemala,29
1988,India,358
1988,Iraq,4
1988,Israel,35
1988,Lebanon,125
1988,Nicaragua,62
1988,Nigeria,2
1988,Pakistan,44
1988,Peru,355
