name; country; genre; rating
Зеленая миля; США; драма, криминал; 9.0
Побег из Шоушенка; США; драма; 8.9
Властелин колец: Возвращение короля; Новая Зеландия, США; фэнтези, приключения; 8.9
Властелин колец: Две крепости; Новая Зеландия, США; фэнтези, приключения; 8.8
Властелин колец: Братство Кольца; Новая Зеландия, США; фэнтези, приключения; 8.8
Список Шиндлера; США; драма, биография; 8.7
Форрест Гамп; США; драма, комедия; 8.7
1+1; Франция; драма, комедия; 8.7
Король Лев; США; мультфильм, мюзикл; 8.7
Интерстеллар; Великобритания, Канада; фантастика, драма; 8.7
Криминальное чтиво; США; криминал, драма; 8.7
Иван Васильевич меняет профессию; СССР; комедия, фантастика; 8.6
Тайна Коко; США, Мексика; мультфильм, фэнтези; 8.6
Начало; США, Великобритания; фантастика, боевик; 8.6
ВАЛЛ·И; США; мультфильм, фантастика; 8.6
Карты, деньги, два ствола; Великобритания; боевик, комедия; 8.6
Назад в будущее; США; фантастика, комедия; 8.6
Матрица; США, Австралия; фантастика, боевик; 8.6
Унесённые призраками; Япония; аниме, мультфильм; 8.6
Клаус; Испания, Великобритания; мультфильм, семейный; 8.6
Бойцовский клуб; США, Германия; триллер, драма; 8.5
Достучаться до небес; Германия; драма, комедия; 8.5
Джентльмены удачи; СССР; комедия, драма; 8.5
Москва слезам не верит; СССР; мелодрама, драма; 8.5
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей; СССР; детектив, криминал; 8.5
Темный рыцарь; США, Великобритания; фантастика, боевик; 8.5
Остров проклятых; США; триллер, детектив; 8.5
Большой куш; Великобритания, США; криминал, комедия; 8.5
Шрэк; США, Япония; мультфильм, фэнтези; 8.5
Пираты Карибского моря: Проклятие Черной жемчужины; США; фэнтези, боевик; 8.5
В бой идут одни «старики»; СССР; военный, драма; 8.5
...А зори здесь тихие; СССР; драма, военный; 8.5
Операция «Ы» и другие приключения Шурика; СССР; комедия, мелодрама; 8.5
Гладиатор; США, Великобритания; история, боевик; 8.5
Джентльмены; Великобритания, США; криминал, комедия; 8.5
Гарри Поттер и узник Азкабана; Великобритания, США; фэнтези, приключения; 8.4
Поймай меня, если сможешь; США, Канада; криминал, биография; 8.4
Брат; Россия; драма, криминал; 8.4
Остров сокровищ; СССР; мультфильм, приключения; 8.4
Крестный отец; США; драма, криминал; 8.4
Один дома; США; комедия, семейный; 8.4
Гарри Поттер и философский камень; Великобритания, США; фэнтези, приключения; 8.4
Душа; США; мультфильм, фэнтези; 8.4
Леон; Франция, США; боевик, триллер; 8.4
Невидимая сторона; США; драма, спорт; 8.4
12 разгневанных мужчин; США; драма, детектив; 8.4
Ходячий замок; Япония; аниме, мультфильм; 8.4
Престиж; Великобритания, США; триллер, фантастика; 8.4
Назад в будущее 2; США; фантастика, приключения; 8.3
Терминатор 2: Судный день; США, Франция; фантастика, боевик; 8.3
Любовь и голуби; СССР; мелодрама, комедия; 8.3
Жизнь прекрасна; Италия; военный, комедия; 8.3
Отступники; США, Гонконг; триллер, драма; 8.3
Они сражались за Родину; СССР; драма, военный; 8.3
Титаник; США, Мексика; мелодрама, история; 8.3
Собачье сердце; СССР; фантастика, драма; 8.3
Одержимость; США; драма, музыка; 8.3
Служебный роман; СССР; мелодрама, комедия; 8.3
Гарри Поттер и Дары Смерти: Часть II; Великобритания, США; фэнтези, драма; 8.3
Офицеры; СССР; драма, военный; 8.3
Игры разума; США; драма, биография; 8.3
Пианист; Франция, Польша; драма, военный; 8.3
Брат 2; Россия, США; боевик, криминал; 8.3
Кавказская пленница, или Новые приключения Шурика; СССР; комедия, приключения; 8.3
Зеленая книга; США, Китай; биография, комедия; 8.3
Шерлок Холмс и доктор Ватсон: Знакомство; СССР; криминал, детектив; 8.3
Твоё имя; Япония; аниме, мультфильм; 8.3
Джанго освобожденный; США; вестерн, боевик; 8.3
Гарри Поттер и Тайная комната; Великобритания, США; фэнтези, приключения; 8.3
По соображениям совести; Австралия, США; драма, военный; 8.3
Шоу Трумана; США; драма, комедия; 8.3
Бриллиантовая рука; СССР; комедия, криминал; 8.3
Волк с Уолл-стрит; США; драма, криминал; 8.3
Корпорация монстров; США; мультфильм, фэнтези; 8.3
Молчание ягнят; США; триллер, детектив; 8.3
Рататуй; США; мультфильм, приключения; 8.3
Укрощение строптивого; Италия; мелодрама, комедия; 8.3
Стальной гигант; США; мультфильм, фантастика; 8.3
Девчата; СССР; мелодрама, комедия; 8.3
Звёздные войны: Эпизод 3 – Месть ситхов; США; фантастика, боевик; 8.3
Хоббит: Нежданное путешествие; Новая Зеландия, США; фэнтези, приключения; 8.3
Тайна третьей планеты; СССР; мультфильм, фантастика; 8.2
Зверополис; США; мультфильм, комедия; 8.2
Хатико: Самый верный друг; США, Великобритания; драма, семейный; 8.2
Омерзительная восьмерка; США; вестерн, криминал; 8.2
Храброе сердце; США; история, биография; 8.2
Судьба человека; СССР; драма, военный; 8.2
Запах женщины; США; драма; 8.2
Американская история X; США; драма; 8.2
Общество мертвых поэтов; США; драма, комедия; 8.2
Принцесса Мононоке; Япония; аниме, мультфильм; 8.2
Шрэк 2; США; мультфильм, фэнтези; 8.2
Семь; США; триллер, драма; 8.2
Гран Торино; США, Германия; драма; 8.2
Мулан; США; мультфильм, мюзикл; 8.2
Человек-паук: Нет пути домой; США; фантастика, боевик; 8.2
День сурка; США; фэнтези, мелодрама; 8.2
Вверх; США; мультфильм, драма; 8.2
Аладдин; США; мультфильм, мюзикл; 8.2
Унесенные ветром; США; мелодрама, история; 8.2
Пираты Карибского моря: Сундук мертвеца; США; фэнтези, боевик; 8.2
Головоломка; США; мультфильм, семейный; 8.2
Ford против Ferrari; США; биография, спорт; 8.2
Семь жизней; США; драма, мелодрама; 8.2
Назад в будущее 3; США; фантастика, комедия; 8.2
В джазе только девушки; США; мелодрама, комедия; 8.2
Адвокат дьявола; США, Германия; триллер, фэнтези; 8.2
Игра; США; триллер, драма; 8.2
Пролетая над гнездом кукушки; США; драма; 8.2
Песнь моря; Ирландия, Дания; мультфильм, фэнтези; 8.2
Темный рыцарь: Возрождение легенды; Великобритания, США; фантастика, боевик; 8.2
Эффект бабочки; США, Канада; фантастика, триллер; 8.2
Пятый элемент; Франция, Великобритания; фантастика, боевик; 8.2
Терминал; США; драма, мелодрама; 8.2
Двухсотлетний человек; США, Германия; фантастика, драма; 8.2
Пробуждение; США; драма, биография; 8.2
Тренер Картер; США, Германия; биография, спорт; 8.2
Один дома 2: Затерянный в Нью-Йорке; США; комедия, семейный; 8.2
Хоббит: Пустошь Смауга; Новая Зеландия, США; фэнтези, приключения; 8.2
Железный человек; США, Канада; фантастика, боевик; 8.2
Человек-паук: Через вселенные; США; мультфильм, фантастика; 8.2
Эрнест и Селестина: Приключения мышки и медведя; Франция, Бельгия; мультфильм, фэнтези; 8.2
Невероятный мир глазами Энцо; США; драма, мелодрама; 8.2
Спирит: Душа прерий; США; мультфильм, драма; 8.2
Мой сосед Тоторо; Япония; аниме, мультфильм; 8.2
Вторая жизнь Уве; Швеция; драма, мелодрама; 8.1
Король говорит!; Великобритания, США; драма, биография; 8.1
Форма голоса; Япония; аниме, мультфильм; 8.1
Белый Бим Черное ухо; СССР; драма; 8.1
Спасти рядового Райана; США; военный, драма; 8.1
Хороший, плохой, злой; Италия, Испания; приключения, вестерн; 8.1
Крестный отец 2; США; драма, криминал; 8.1
Звёздные войны: Эпизод 5 – Империя наносит ответный удар; США, Великобритания; фантастика, боевик; 8.1
Мемуары гейши; Франция, Япония; драма, мелодрама; 8.1
Изгой; США; драма, мелодрама; 8.1
